model,experiment_id,outer_fold,best_epoch,image,valid_pixels,gt_foreground_pixels,foreground_fraction_weight,foreground_macro_f1,binary_foreground_f1,crack_f1,craquelure_f1
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R11_C03__y00256_x00256,262144,7010,0.02674102783203125,0.5313112139701843,0.5265113115310669,0.5313112139701843,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R11_C03__y00256_x00512,262144,7010,0.02674102783203125,0.49917957186698914,0.49686962366104126,0.49917957186698914,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R11_C03__y00512_x00256,262144,7309,0.027881622314453125,0.36486342549324036,0.36385002732276917,0.36486342549324036,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R11_C03__y00512_x00512,262144,7309,0.027881622314453125,0.301328182220459,0.3011755049228668,0.301328182220459,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R12_C05__y00000_x00000,262144,2871,0.010951995849609375,0.44400909543037415,0.44400909543037415,0.44400909543037415,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R12_C05__y00000_x00256,262144,0,0.0,,,,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R12_C05__y00256_x00000,262144,3157,0.012042999267578125,0.3107243776321411,0.3107243776321411,0.3107243776321411,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R12_C05__y00512_x00000,261389,3074,0.011760249733924866,0.44103679060935974,0.44103679060935974,0.44103679060935974,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R12_C05__y00512_x00256,261389,0,0.0,,,,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R12_C05__y00512_x00512,261910,0,0.0,,,,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R12_C06__y00256_x00512,262144,0,0.0,,,,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R12_C06__y00512_x00000,258503,0,0.0,,,,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R12_C06__y00512_x00256,252924,0,0.0,,,,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R12_C06__y00512_x00512,256565,0,0.0,,,,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R7_C02__y00000_x00000,262144,4735,0.018062591552734375,0.7453354597091675,0.7453354597091675,0.7453354597091675,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R7_C02__y00000_x00512,258478,0,0.0,,,,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R7_C02__y00256_x00000,262144,4570,0.01743316650390625,0.724855363368988,0.724855363368988,0.724855363368988,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R7_C02__y00512_x00000,262144,3490,0.01331329345703125,0.6947216987609863,0.6947216987609863,0.6947216987609863,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R8_C05__y00000_x00000,262144,3693,0.014087677001953125,0.621667206287384,0.6214050650596619,0.621667206287384,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R8_C05__y00000_x00256,262144,3693,0.014087677001953125,0.5500601530075073,0.5500601530075073,0.5500601530075073,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R8_C05__y00000_x00512,258949,0,0.0,,,,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R8_C05__y00256_x00000,262144,3738,0.01425933837890625,0.5342704057693481,0.5342704057693481,0.5342704057693481,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R8_C05__y00256_x00256,262144,3738,0.01425933837890625,0.4677037298679352,0.4677037298679352,0.4677037298679352,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R8_C05__y00512_x00000,262144,4127,0.015743255615234375,0.5616371631622314,0.5611700415611267,0.5616371631622314,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R8_C05__y00512_x00256,262144,4127,0.015743255615234375,0.5250905156135559,0.5250905156135559,0.5250905156135559,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R8_C06__y00000_x00000,258913,0,0.0,,,,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R8_C06__y00000_x00256,259147,0,0.0,,,,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R8_C06__y00512_x00256,262144,0,0.0,,,,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R9_C01__y00000_x00000,262144,0,0.0,,,,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R9_C01__y00256_x00000,260317,0,0.0,,,,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R9_C01__y00256_x00256,259344,0,0.0,,,,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R9_C01__y00256_x00512,260041,0,0.0,,,,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R9_C01__y00512_x00000,257871,0,0.0,,,,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R9_C01__y00512_x00256,258451,0,0.0,,,,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R9_C01__y00512_x00512,260041,0,0.0,,,,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R9_C05__y00000_x00000,262144,3244,0.0123748779296875,0.6192211508750916,0.6192211508750916,0.6192211508750916,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R9_C05__y00000_x00256,262144,3244,0.0123748779296875,0.6197711229324341,0.6181854009628296,0.6197711229324341,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R9_C05__y00256_x00000,262144,3483,0.013286590576171875,0.5103529691696167,0.5103529691696167,0.5103529691696167,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R9_C05__y00256_x00256,262144,3483,0.013286590576171875,0.49944865703582764,0.49944865703582764,0.49944865703582764,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R9_C05__y00512_x00000,262144,3495,0.013332366943359375,0.5560944080352783,0.5528324842453003,0.5560944080352783,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,0,5,SSGWT-MH-M-A8-1_R9_C05__y00512_x00256,262144,3495,0.013332366943359375,0.4868714511394501,0.4868714511394501,0.4868714511394501,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R10_C02__y00000_x00000,257362,323,0.0012550415704026818,0.0,0.0,0.0,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R10_C03__y00000_x00000,262144,2366,0.00902557373046875,0.0,0.01652892492711544,0.0,0.0
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R10_C04__y00000_x00000,261880,8435,0.03220940753817558,0.057728350162506104,0.12224011868238449,0.11545670032501221,0.0
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R10_C05__y00000_x00000,262144,747,0.002849578857421875,0.0,0.0,,0.0
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R10_C06__y00000_x00000,262144,331,0.001262664794921875,0.0,0.0,0.0,0.0
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R10_C07__y00000_x00000,262144,1130,0.00431060791015625,0.056134723126888275,0.04001428931951523,0.056134723126888275,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R10_C08__y00000_x00000,262144,2132,0.0081329345703125,0.0,0.0005051780608482659,0.0,0.0
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R10_C09__y00000_x00000,262144,191,0.000728607177734375,0.0,0.0,,0.0
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R10_C10__y00000_x00000,262144,4107,0.015666961669921875,0.5708802342414856,0.43476566672325134,0.5708802342414856,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R10_C11__y00000_x00000,255905,0,0.0,,,,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R11_C02__y00000_x00000,256915,821,0.0031956094317138195,0.3222416937351227,0.21506761014461517,0.3222416937351227,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R11_C03__y00000_x00000,260634,8044,0.0308632031083107,0.004469790495932102,0.061527904123067856,0.0,0.008939580991864204
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R11_C04__y00000_x00000,262144,12900,0.0492095947265625,0.03445035219192505,0.27846232056617737,0.05160662159323692,0.017294086515903473
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R11_C05__y00000_x00000,262144,6428,0.0245208740234375,0.054703421890735626,0.05199306830763817,,0.054703421890735626
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R11_C06__y00000_x00000,261985,0,0.0,,,,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R11_C07__y00000_x00000,262144,0,0.0,,,,
